,CLU,MS4A6A,TREM2,TYROBP,MEF2C,CD33,INPP5D,SLC24A4,PTK2B,APOE,FERMT2,BACE1,ABCA7,BIN1,ZCWPW1,GSK3B,PSEN1,NOTCH3,ADAM10,PSEN2
CLU,0.0,-17.808094045374066,0.0,-16.286637305185984,0.0,0.0,0.0,0.0,20.709492776498784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.796445744951804,0.0
MS4A6A,0.0,0.0,-17.79892880827687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.295114235270724,0.0,0.0,0.0,0.0,0.0,0.0,-10.650948475925977,0.0,0.0
TREM2,0.0,-10.419063208521255,0.0,-9.318205605910125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYROBP,0.0,-16.965197699046428,-13.557924472185444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.32960501826695,0.0,0.0
MEF2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD33,0.0,0.0,-27.434945058842366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.768623503159425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INPP5D,0.0,-12.42215966280309,0.0,-10.002902027130714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.85402137629399,0.0,0.0
SLC24A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTK2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERMT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.257132026371762,0.0,-9.373896918375358,0.0,0.0,0.0,-6.972118475014295,0.0,0.0
BIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCWPW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9871884725367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.067704836090233
GSK3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSEN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.000065893004469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTCH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.809073777290102,-14.183695529975253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSEN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.706834819797713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
