,CLU,MS4A6A,TREM2,TYROBP,MEF2C,CD33,INPP5D,SLC24A4,PTK2B,APOE,FERMT2,BACE1,ABCA7,BIN1,ZCWPW1,GSK3B,PSEN1,NOTCH3,ADAM10,PSEN2
CLU,0.0,0.84,0.39,0.81,0.42999999999999994,0.10999999999999999,0.17999999999999994,0.020000000000000018,0.89,0.31999999999999995,0.73,0.54,0.22999999999999998,0.6699999999999999,0.49,0.31999999999999995,0.14,0.5,0.77,0.52
MS4A6A,0.18999999999999995,0.0,0.92,0.6799999999999999,0.10999999999999999,0.08999999999999997,0.71,0.5,0.17999999999999994,0.20999999999999996,0.84,0.039999999999999925,0.04999999999999993,0.37,0.07999999999999996,0.020000000000000018,0.020000000000000018,0.86,0.4,0.04999999999999993
TREM2,0.04999999999999993,0.85,0.0,0.8,0.37,0.54,0.51,0.29999999999999993,0.09999999999999998,0.21999999999999997,0.039999999999999925,0.21999999999999997,0.24,0.14,0.24,0.08999999999999997,0.020000000000000018,0.14,0.56,0.59
TYROBP,0.010000000000000009,0.94,0.85,0.0,0.07999999999999996,0.4,0.45999999999999996,0.05999999999999994,0.15999999999999992,0.26,0.62,0.54,0.19999999999999996,0.16999999999999993,0.41999999999999993,0.22999999999999998,0.29999999999999993,0.86,0.020000000000000018,0.35
MEF2C,0.07999999999999996,0.19999999999999996,0.13,0.25,0.0,0.08999999999999997,0.010000000000000009,0.15999999999999992,0.33999999999999997,0.04999999999999993,0.039999999999999925,0.030000000000000027,0.15000000000000002,0.25,0.17999999999999994,0.4,0.13,0.12,0.04999999999999993,0.25
CD33,0.51,0.56,0.96,0.47,0.6,0.0,0.52,0.32999999999999996,0.020000000000000018,0.020000000000000018,0.93,0.12,0.17999999999999994,0.19999999999999996,0.19999999999999996,0.14,0.05999999999999994,0.16999999999999993,0.6499999999999999,0.7
INPP5D,0.21999999999999997,0.87,0.74,0.77,0.10999999999999999,0.19999999999999996,0.0,0.25,0.47,0.05999999999999994,0.04999999999999993,0.30999999999999994,0.2899999999999999,0.54,0.13,0.04999999999999993,0.38,0.76,0.010000000000000009,0.05999999999999994
SLC24A4,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
PTK2B,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.020000000000000018,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.020000000000000018
APOE,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
FERMT2,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
BACE1,0.2899999999999999,0.15999999999999992,0.020000000000000018,0.13,0.04999999999999993,0.020000000000000018,0.24,0.21999999999999997,0.35,0.039999999999999925,0.030000000000000027,0.0,0.14,0.52,0.41999999999999993,0.22999999999999998,0.63,0.33999999999999997,0.48,0.24
ABCA7,0.030000000000000027,0.09999999999999998,0.16999999999999993,0.15999999999999992,0.72,0.020000000000000018,0.07999999999999996,0.48,0.41000000000000003,0.44999999999999996,0.26,0.84,0.0,0.81,0.24,0.71,0.53,0.79,0.41000000000000003,0.04999999999999993
BIN1,0.32999999999999996,0.12,0.42999999999999994,0.13,0.07999999999999996,0.44999999999999996,0.28,0.53,0.21999999999999997,0.19999999999999996,0.030000000000000027,0.75,0.6399999999999999,0.0,0.71,0.09999999999999998,0.5700000000000001,0.37,0.14,0.41000000000000003
ZCWPW1,0.56,0.20999999999999996,0.14,0.13,0.52,0.28,0.18999999999999995,0.75,0.8,0.43999999999999995,0.07999999999999996,0.39,0.030000000000000027,0.72,0.0,0.24,0.14,0.010000000000000009,0.04999999999999993,0.9
GSK3B,0.030000000000000027,0.28,0.17999999999999994,0.33999999999999997,0.7,0.10999999999999999,0.020000000000000018,0.42999999999999994,0.32999999999999996,0.17999999999999994,0.039999999999999925,0.30999999999999994,0.10999999999999999,0.15000000000000002,0.020000000000000018,0.0,0.05999999999999994,0.039999999999999925,0.24,0.5
PSEN1,0.37,0.25,0.37,0.16999999999999993,0.35,0.5,0.31999999999999995,0.69,0.20999999999999996,0.26,0.26,0.79,0.12,0.48,0.31999999999999995,0.039999999999999925,0.0,0.53,0.43999999999999995,0.48
NOTCH3,0.07999999999999996,0.14,0.20999999999999996,0.35,0.15000000000000002,0.32999999999999996,0.35,0.25,0.38,0.36,0.020000000000000018,0.76,0.95,0.24,0.020000000000000018,0.51,0.19999999999999996,0.0,0.10999999999999999,0.5
ADAM10,0.37,0.42999999999999994,0.20999999999999996,0.26,0.15000000000000002,0.09999999999999998,0.18999999999999995,0.030000000000000027,0.25,0.09999999999999998,0.07999999999999996,0.63,0.38,0.10999999999999999,0.28,0.039999999999999925,0.72,0.38,0.0,0.26
PSEN2,0.19999999999999996,0.51,0.020000000000000018,0.51,0.75,0.41000000000000003,0.039999999999999925,0.91,0.69,0.5700000000000001,0.31999999999999995,0.20999999999999996,0.37,0.08999999999999997,0.020000000000000018,0.6599999999999999,0.19999999999999996,0.38,0.14,0.0
